,Unnamed: 0,Unnamed: 0.1,id,label,template,placeholders,nr_instances,err
1146,1146,1146,108527,moving pen down,Moving [something] down,['pen'],2,
1160,1160,1160,135017,moving remote up,Moving [something] up,['remote'],2,
1204,1204,1204,23946,pushing a match box from left to right,Pushing [something] from left to right,['match box'],2,
1211,1211,1211,81517,moving mobile phone down,Moving [something] down,['phone'],2,
1213,1213,1213,132409,pushing lighter from left to right,Pushing [something] from left to right,['lighter'],2,False
1237,1237,1237,171984,uncovering a stone,Uncovering [something],['stone'],2,e_frame - s_frame < 4
1241,1241,1241,219650,putting spoon on a surface,Putting [something] on a surface,['spoon'],2,
1270,1270,1270,63889,putting pen on a surface,Putting [something] on a surface,['pen'],2,
1274,1274,1274,38560,moving wallet down,Moving [something] down,['wallet'],2,
1304,1304,1304,122187,moving box down,Moving [something] down,['box'],2,
1306,1306,1306,211018,moving smartphone up,Moving [something] up,['phone'],2,
1343,1343,1343,51544,pushing tape from left to right,Pushing [something] from left to right,['tape'],2,
1362,1362,1362,80286,uncovering mug,Uncovering [something],['mug'],2,
1377,1377,1377,10190,uncovering perfume,Uncovering [something],['perfume'],2,e_frame - s_frame < 4
1379,1379,1379,109576,uncovering ruler,Uncovering [something],['ruler'],2,
1394,1394,1394,153923,covering mouse with cloth,Covering [something] with [something],"['mouse', 'cloth']",3,
1408,1408,1408,30280,moving mouse down,Moving [something] down,['mouse'],2,
1422,1422,1422,466,putting a cellphone on a surface,Putting [something] on a surface,['phone'],2,
1424,1424,1424,113197,pushing bottle from right to left,Pushing [something] from right to left,['bottle'],2,
1428,1428,1428,45666,putting pen on a surface,Putting [something] on a surface,['pen'],2,
1431,1431,1431,176012,uncovering marker,Uncovering [something],['marker'],2,
1441,1441,1441,26859,pushing headphones from left to right,Pushing [something] from left to right,['headphones'],2,
1457,1457,1457,126071,covering sharpener with card,Covering [something] with [something],"['sharpener', 'card']",3,
1469,1469,1469,139128,covering pencil with towel,Covering [something] with [something],"['pen', 'towel']",3,e_frame - s_frame < 4
1506,1506,1506,48839,putting notebook on a surface,Putting [something] on a surface,['book'],2,
1566,1566,1566,192172,putting orange on a surface,Putting [something] on a surface,['orange'],2,
1575,1575,1575,104763,pushing color pencils from right to left,Pushing [something] from right to left,['pen'],2,
1585,1585,1585,76866,pushing remote from left to right,Pushing [something] from left to right,['remote'],2,
1605,1605,1605,79027,pushing water bottle from right to left,Pushing [something] from right to left,['bottle'],2,
1609,1609,1609,138688,moving pen down,Moving [something] down,['pen'],2,
1622,1622,1622,139719,pushing mobile charger from left to right,Pushing [something] from left to right,['charger'],2,
1631,1631,1631,66773,moving coin down,Moving [something] down,['coin'],2,
1652,1652,1652,215345,taking spoon,Taking [one of many similar things on the table],['spoon'],2,
1664,1664,1664,143207,taking a battery,Taking [one of many similar things on the table],['battery'],2,
1672,1672,1672,195530,moving color pencils up,Moving [something] up,['pen'],2,
1686,1686,1686,186587,covering black marker with towel,Covering [something] with [something],"['marker', 'towel']",3,
1698,1698,1698,149097,pushing bottle from left to right,Pushing [something] from left to right,['bottle'],2,
1708,1708,1708,104826,moving plastic spoon up,Moving [something] up,['spoon'],2,
1714,1714,1714,154746,uncovering highlighter,Uncovering [something],['marker'],2,
1716,1716,1716,174603,pushing paper from right to left,Pushing [something] from right to left,['paper'],2,Last index is not hand
1725,1725,1725,208847,uncovering knife,Uncovering [something],['knife'],2,False
1737,1737,1737,48771,putting color pencils on a surface,Putting [something] on a surface,['pen'],2,
1749,1749,1749,81863,moving keys up,Moving [something] up,['key'],2,
1755,1755,1755,33267,uncovering comb,Uncovering [something],['comb'],2,e_frame - s_frame < 4
1766,1766,1766,177763,putting keyboard on a surface,Putting [something] on a surface,['keyboard'],2,
1767,1767,1767,153971,pushing pen from left to right,Pushing [something] from left to right,['pen'],2,
1771,1771,1771,83487,uncovering wallet,Uncovering [something],['wallet'],2,e_frame - s_frame < 4
1791,1791,1791,78059,pushing a toy from left to right,Pushing [something] from left to right,['toy'],2,
1818,1818,1818,144310,moving a pillow down,Moving [something] down,['pillow'],2,
1821,1821,1821,10123,moving color pencils down,Moving [something] down,['pen'],2,
1837,1837,1837,196743,covering remote with clothes,Covering [something] with [something],"['remote', 'cloth']",3,e_frame - s_frame < 4
1850,1850,1850,132752,putting color pencils on a surface,Putting [something] on a surface,['pen'],2,
1874,1874,1874,111788,uncovering headphones,Uncovering [something],['headphones'],2,e_frame - s_frame < 4
1912,1912,1912,152868,covering scissors with book,Covering [something] with [something],"['scissors', 'book']",3,False
1927,1927,1927,43482,covering glass with cloth,Covering [something] with [something],"['glass', 'cloth']",3,False
1950,1950,1950,109057,pushing wallet from right to left,Pushing [something] from right to left,['wallet'],2,
1963,1963,1963,142854,putting color pencils on a surface,Putting [something] on a surface,['pen'],2,
1976,1976,1976,41615,covering a spoon with a tissue,Covering [something] with [something],"['spoon', 'tissue']",3,Last index is not hand
2001,2001,2001,168123,pushing color pencils from right to left,Pushing [something] from right to left,['pen'],2,
2012,2012,2012,175150,moving pen up,Moving [something] up,['pen'],2,
2043,2043,2043,125415,moving bananas down,Moving [something] down,['banana'],2,
2062,2062,2062,28664,taking fork,Taking [one of many similar things on the table],['fork'],2,
2080,2080,2080,23822,putting cd on a surface,Putting [something] on a surface,['cd'],2,
2089,2089,2089,36263,moving cutter up,Moving [something] up,['cutter'],2,
2128,2128,2128,140911,putting cup on a surface,Putting [something] on a surface,['cup'],2,
2129,2129,2129,198580,moving bottle down,Moving [something] down,['bottle'],2,
2138,2138,2138,131745,moving ruler down,Moving [something] down,['ruler'],2,
2158,2158,2158,52937,covering crayon with napkin,Covering [something] with [something],"['crayon', 'napkin']",3,
2170,2170,2170,117889,covering a remote with pillow,Covering [something] with [something],"['remote', 'pillow']",3,
2198,2198,2198,171599,uncovering a pen,Uncovering [something],['pen'],2,
2200,2200,2200,11485,covering mouse with paper,Covering [something] with [something],"['mouse', 'paper']",3,
2230,2230,2230,2397,moving shoe up,Moving [something] up,['shoe'],2,
2274,2274,2274,121845,pushing color pencils from left to right,Pushing [something] from left to right,['pen'],2,
2279,2279,2279,32104,pushing mobile from right to left,Pushing [something] from right to left,['phone'],2,
2285,2285,2285,110542,pushing color pencils from left to right,Pushing [something] from left to right,['pen'],2,
2287,2287,2287,145651,pushing phone from right to left,Pushing [something] from right to left,['phone'],2,
2290,2290,2290,170780,covering glass with napkin,Covering [something] with [something],"['glass', 'napkin']",3,
2319,2319,2319,5247,pushing wrist watch from right to left,Pushing [something] from right to left,['watch'],2,
2323,2323,2323,214249,pushing color pencils from right to left,Pushing [something] from right to left,['pen'],2,
2331,2331,2331,207312,uncovering pen,Uncovering [something],['pen'],2,
2344,2344,2344,199823,moving scissors up,Moving [something] up,['scissors'],2,
2405,2405,2405,199434,moving color pencils up,Moving [something] up,['pen'],2,
2414,2414,2414,213006,pushing color pencils from left to right,Pushing [something] from left to right,['pen'],2,
2445,2445,2445,73560,pushing pen from right to left,Pushing [something] from right to left,['pen'],2,Last index is not hand
2462,2462,2462,4101,moving a card up,Moving [something] up,['card'],2,
2467,2467,2467,59485,pushing plastic water bottle from left to right,Pushing [something] from left to right,['bottle'],2,
2475,2475,2475,68339,moving keys down,Moving [something] down,['key'],2,
2477,2477,2477,55655,moving dreidel down,Moving [something] down,['dreidel'],2,
2495,2495,2495,9099,pushing cap from right to left,Pushing [something] from right to left,['cap'],2,
2500,2500,2500,123579,pushing remote from left to right,Pushing [something] from left to right,['remote'],2,
2514,2514,2514,29315,pushing pouch from right to left,Pushing [something] from right to left,['purse'],2,
2520,2520,2520,67805,putting cello tape on a surface,Putting [something] on a surface,['tape'],2,
2590,2590,2590,116389,pushing wallet from right to left,Pushing [something] from right to left,['wallet'],2,
2618,2618,2618,145224,taking pen,Taking [one of many similar things on the table],['pen'],2,
2619,2619,2619,22013,uncovering color pencils,Uncovering [something],['pen'],2,
2646,2646,2646,56429,putting a bag on a surface,Putting [something] on a surface,['bag'],2,
2704,2704,2704,19731,uncovering pan,Uncovering [something],['pan'],2,e_frame - s_frame < 4
2706,2706,2706,49585,putting umbrella on a surface,Putting [something] on a surface,['umbrella'],2,
2716,2716,2716,60674,uncovering flashdisk,Uncovering [something],['pendrive'],2,
2758,2758,2758,152891,moving mobile phone down,Moving [something] down,['phone'],2,
2773,2773,2773,65005,pushing box from left to right,Pushing [something] from left to right,['box'],2,
2783,2783,2783,219105,moving color pencils down,Moving [something] down,['pen'],2,
2795,2795,2795,165009,putting comb on a surface,Putting [something] on a surface,['comb'],2,
2824,2824,2824,64968,covering pencil with paper,Covering [something] with [something],"['pen', 'paper']",3,
2865,2865,2865,153739,pushing doll from right to left,Pushing [something] from right to left,['doll'],2,
2872,2872,2872,186701,taking scissors,Taking [one of many similar things on the table],['scissors'],2,
2878,2878,2878,3901,uncovering box,Uncovering [something],['box'],2,
2906,2906,2906,108457,moving book up,Moving [something] up,['book'],2,
2910,2910,2910,165924,putting wallet on a surface,Putting [something] on a surface,['wallet'],2,
2917,2917,2917,60270,uncovering toy,Uncovering [something],['toy'],2,
2923,2923,2923,27088,pushing water bottle from left to right,Pushing [something] from left to right,['bottle'],2,
2943,2943,2943,158061,pushing a jar from left to right,Pushing [something] from left to right,['jar'],2,
2977,2977,2977,123807,taking fork,Taking [one of many similar things on the table],['fork'],2,
2983,2983,2983,130545,pushing paper from right to left,Pushing [something] from right to left,['paper'],2,False
3001,3001,3001,98281,moving toothpaste up,Moving [something] up,['toothpaste'],2,
3002,3002,3002,208753,pushing pencil from left to right,Pushing [something] from left to right,['pen'],2,
3028,3028,3028,48388,putting a glass on a surface,Putting [something] on a surface,['glass'],2,
3092,3092,3092,67324,moving a pencil down,Moving [something] down,['pen'],2,
3102,3102,3102,219718,pushing marker from left to right,Pushing [something] from left to right,['marker'],2,
3103,3103,3103,78908,pushing plastic bottle from left to right,Pushing [something] from left to right,['bottle'],2,
3124,3124,3124,13670,putting smartphone on a surface,Putting [something] on a surface,['phone'],2,
3147,3147,3147,87808,putting pen on a surface,Putting [something] on a surface,['pen'],2,
3164,3164,3164,3550,putting a bag on a surface,Putting [something] on a surface,['bag'],2,
3177,3177,3177,74977,moving pendrive down,Moving [something] down,['pendrive'],2,
3188,3188,3188,106336,pushing book from right to left,Pushing [something] from right to left,['book'],2,
3200,3200,3200,145965,putting a tape on a surface,Putting [something] on a surface,['tape'],2,
3204,3204,3204,155019,putting ball on a surface,Putting [something] on a surface,['ball'],2,
3217,3217,3217,176705,putting color pencils on a surface,Putting [something] on a surface,['pen'],2,
3248,3248,3248,108038,putting pen on a surface,Putting [something] on a surface,['pen'],2,
3271,3271,3271,122286,pushing watch from right to left,Pushing [something] from right to left,['watch'],2,
3304,3304,3304,62757,putting dreidel on a surface,Putting [something] on a surface,['dreidel'],2,
3312,3312,3312,87673,moving perfume bottle down,Moving [something] down,['perfume'],2,
3342,3342,3342,165485,pushing a charger from left to right,Pushing [something] from left to right,['charger'],2,
3372,3372,3372,194184,pushing paper from right to left,Pushing [something] from right to left,['paper'],2,False
3380,3380,3380,32316,pushing paper from right to left,Pushing [something] from right to left,['paper'],2,
3395,3395,3395,187825,pushing remote from right to left,Pushing [something] from right to left,['remote'],2,
3397,3397,3397,65909,putting remote on a surface,Putting [something] on a surface,['remote'],2,
3444,3444,3444,66536,pushing paper from left to right,Pushing [something] from left to right,['paper'],2,
3465,3465,3465,32066,moving spoon up,Moving [something] up,['spoon'],2,
3467,3467,3467,187737,covering adapter with plastic bag,Covering [something] with [something],"['adapter', 'bag']",3,False
3468,3468,3468,85132,uncovering pencil,Uncovering [something],['pen'],2,
3488,3488,3488,7605,moving tv remote down,Moving [something] down,['remote'],2,
3493,3493,3493,105438,moving a jar down,Moving [something] down,['jar'],2,
3505,3505,3505,87918,putting a lighter on a surface,Putting [something] on a surface,['lighter'],2,
3518,3518,3518,177548,moving box down,Moving [something] down,['box'],2,
3555,3555,3555,209360,taking remote,Taking [one of many similar things on the table],['remote'],2,
3563,3563,3563,180771,taking remote,Taking [one of many similar things on the table],['remote'],2,
3579,3579,3579,140266,moving tv remote down,Moving [something] down,['remote'],2,
3607,3607,3607,207449,moving shoe down,Moving [something] down,['shoe'],2,
3623,3623,3623,190086,covering toothbrush with towel,Covering [something] with [something],"['toothbrush', 'towel']",3,e_frame - s_frame < 4
3630,3630,3630,116269,putting watch on a surface,Putting [something] on a surface,['watch'],2,
3645,3645,3645,110964,putting a toothbrush on a surface,Putting [something] on a surface,['toothbrush'],2,
3682,3682,3682,186498,moving color pencils up,Moving [something] up,['pen'],2,False
3687,3687,3687,140502,moving card down,Moving [something] down,['card'],2,
3691,3691,3691,2539,pushing key from right to left,Pushing [something] from right to left,['key'],2,
3696,3696,3696,18422,moving headphones up,Moving [something] up,['headphones'],2,
3724,3724,3724,208275,moving candle down,Moving [something] down,['candle'],2,
3725,3725,3725,146210,pushing bottle from right to left,Pushing [something] from right to left,['bottle'],2,
3731,3731,3731,25378,uncovering cd,Uncovering [something],['cd'],2,
3772,3772,3772,29601,putting color pencils on a surface,Putting [something] on a surface,['pen'],2,
3786,3786,3786,72084,putting color pencils on a surface,Putting [something] on a surface,['pen'],2,
3793,3793,3793,46350,moving tissue up,Moving [something] up,['tissue'],2,
3834,3834,3834,27023,moving mobile up,Moving [something] up,['phone'],2,
3837,3837,3837,12451,taking a pencil sharpener,Taking [one of many similar things on the table],['sharpener'],2,
3878,3878,3878,148268,moving tv remote up,Moving [something] up,['remote'],2,
3879,3879,3879,39876,moving a card down,Moving [something] down,['card'],2,
3952,3952,3952,106809,moving scissor up,Moving [something] up,['scissors'],2,
3960,3960,3960,125730,moving cap up,Moving [something] up,['cap'],2,
3962,3962,3962,190680,covering a pen with a piece of paper,Covering [something] with [something],"['pen', 'paper']",3,
3986,3986,3986,171055,moving scissors up,Moving [something] up,['scissors'],2,
4032,4032,4032,173607,taking a glass,Taking [one of many similar things on the table],['glass'],2,
4080,4080,4080,146103,pushing adapter from right to left,Pushing [something] from right to left,['adapter'],2,
4089,4089,4089,182358,pushing battery from right to left,Pushing [something] from right to left,['battery'],2,
4092,4092,4092,98144,putting a bottle on a surface,Putting [something] on a surface,['bottle'],2,
4118,4118,4118,212484,moving handphone down,Moving [something] down,['phone'],2,
4129,4129,4129,187277,moving flashdisk up,Moving [something] up,['pendrive'],2,
4147,4147,4147,136351,pushing screwdriver from right to left,Pushing [something] from right to left,['screwdriver'],2,
4149,4149,4149,55566,moving comb up,Moving [something] up,['comb'],2,
4177,4177,4177,208001,moving cup down,Moving [something] down,['cup'],2,
4179,4179,4179,180810,moving a comb down,Moving [something] down,['comb'],2,
4181,4181,4181,110016,pushing onion from left to right,Pushing [something] from left to right,['onion'],2,
4182,4182,4182,139916,taking glass bottle,Taking [one of many similar things on the table],['bottle'],2,
4213,4213,4213,137508,moving dreidel up,Moving [something] up,['dreidel'],2,
4215,4215,4215,84754,putting dreidel on a surface,Putting [something] on a surface,['dreidel'],2,
4224,4224,4224,83714,putting a plate on a surface,Putting [something] on a surface,['plate'],2,
4226,4226,4226,30395,covering pencil with paper,Covering [something] with [something],"['pen', 'paper']",3,e_frame - s_frame < 4
4255,4255,4255,67869,moving key down,Moving [something] down,['key'],2,
4305,4305,4305,48993,covering eraser with cloth,Covering [something] with [something],"['eraser', 'cloth']",3,e_frame - s_frame < 4
4306,4306,4306,127788,putting bottle on a surface,Putting [something] on a surface,['bottle'],2,
4315,4315,4315,8032,moving key up,Moving [something] up,['key'],2,
4331,4331,4331,88951,pushing bottle from right to left,Pushing [something] from right to left,['bottle'],2,
4336,4336,4336,164024,covering pen with towel,Covering [something] with [something],"['pen', 'towel']",3,e_frame - s_frame < 4
4351,4351,4351,173303,pushing color pencils from left to right,Pushing [something] from left to right,['pen'],2,
4406,4406,4406,122987,putting glass on a surface,Putting [something] on a surface,['glass'],2,
4407,4407,4407,113123,moving comb down,Moving [something] down,['comb'],2,
4424,4424,4424,37687,moving permanent marker down,Moving [something] down,['marker'],2,
4436,4436,4436,102609,putting candle on a surface,Putting [something] on a surface,['candle'],2,
4445,4445,4445,197108,taking apple,Taking [one of many similar things on the table],['apple'],2,
4461,4461,4461,115832,moving color pencils up,Moving [something] up,['pen'],2,
4464,4464,4464,135574,moving color pencils down,Moving [something] down,['pen'],2,
4467,4467,4467,54736,moving umbrella up,Moving [something] up,['umbrella'],2,
4470,4470,4470,72351,covering color pencils with paper,Covering [something] with [something],"['pen', 'paper']",3,e_frame - s_frame < 4
4474,4474,4474,57325,moving a container up,Moving [something] up,['container'],2,
4498,4498,4498,13059,covering watch with cup,Covering [something] with [something],"['watch', 'cup']",3,e_frame - s_frame < 4
4517,4517,4517,46189,putting pen on a surface,Putting [something] on a surface,['pen'],2,
4524,4524,4524,115465,putting color pencils on a surface,Putting [something] on a surface,['pen'],2,
4531,4531,4531,181889,taking coin,Taking [one of many similar things on the table],['coin'],2,
4535,4535,4535,3351,putting sharpener on a surface,Putting [something] on a surface,['sharpener'],2,
4549,4549,4549,186616,pushing paper from right to left,Pushing [something] from right to left,['paper'],2,False
4565,4565,4565,124746,putting tv remote on a surface,Putting [something] on a surface,['remote'],2,
4582,4582,4582,87151,pushing tissue from left to right,Pushing [something] from left to right,['tissue'],2,
4617,4617,4617,205713,taking cap,Taking [one of many similar things on the table],['cap'],2,
4624,4624,4624,68562,pushing glass from left to right,Pushing [something] from left to right,['glass'],2,
4631,4631,4631,19818,moving ball up,Moving [something] up,['ball'],2,
4639,4639,4639,27673,moving key up,Moving [something] up,['key'],2,
4655,4655,4655,108750,pushing paper from right to left,Pushing [something] from right to left,['paper'],2,
4666,4666,4666,85366,pushing mug from right to left,Pushing [something] from right to left,['mug'],2,
4677,4677,4677,21627,putting color pencils on a surface,Putting [something] on a surface,['pen'],2,
4700,4700,4700,55218,pushing a book from left to right,Pushing [something] from left to right,['book'],2,
4702,4702,4702,162586,moving wallet down,Moving [something] down,['wallet'],2,
4724,4724,4724,15509,putting dreidel on a surface,Putting [something] on a surface,['dreidel'],2,
4746,4746,4746,205815,uncovering sharpener,Uncovering [something],['sharpener'],2,
4756,4756,4756,57356,putting glass on a surface,Putting [something] on a surface,['glass'],2,
4780,4780,4780,123027,pushing a plate from left to right,Pushing [something] from left to right,['plate'],2,
4812,4812,4812,50129,pushing bottle from left to right,Pushing [something] from left to right,['bottle'],2,
4818,4818,4818,23798,moving plastic bottle up,Moving [something] up,['bottle'],2,
4838,4838,4838,45180,moving a pillow down,Moving [something] down,['pillow'],2,
4859,4859,4859,173781,putting color pencils on a surface,Putting [something] on a surface,['pen'],2,
4868,4868,4868,49027,covering a pillow with a blanket,Covering [something] with [something],"['pillow', 'blanket']",3,e_frame - s_frame < 4
4899,4899,4899,145498,moving a calculator up,Moving [something] up,['calculator'],2,
4918,4918,4918,154868,uncovering a pendrive,Uncovering [something],['pendrive'],2,e_frame - s_frame < 4
4925,4925,4925,186244,pushing mobile from left to right,Pushing [something] from left to right,['phone'],2,
4975,4975,4975,215343,moving knife down,Moving [something] down,['knife'],2,
5015,5015,5015,99505,uncovering pencil,Uncovering [something],['pen'],2,e_frame - s_frame < 4
5033,5033,5033,103086,pushing coin from left to right,Pushing [something] from left to right,['coin'],2,
5081,5081,5081,218209,moving a comb up,Moving [something] up,['comb'],2,
5085,5085,5085,193174,pushing paper from left to right,Pushing [something] from left to right,['paper'],2,
5163,5163,5163,134758,putting pen on a surface,Putting [something] on a surface,['pen'],2,False
5178,5178,5178,25988,moving bottle up,Moving [something] up,['bottle'],2,e_frame - s_frame < 4
5191,5191,5191,70636,covering a cup with a lid,Covering [something] with [something],"['cup', 'lid']",3,
5209,5209,5209,51541,moving watch down,Moving [something] down,['watch'],2,
5222,5222,5222,159651,taking glass,Taking [one of many similar things on the table],['glass'],2,
5263,5263,5263,193436,moving bag up,Moving [something] up,['bag'],2,
5264,5264,5264,201281,moving a remote down,Moving [something] down,['remote'],2,
5273,5273,5273,38523,moving color pencils down,Moving [something] down,['pen'],2,False
5277,5277,5277,31587,putting ball on a surface,Putting [something] on a surface,['ball'],2,
5278,5278,5278,53503,moving remote down,Moving [something] down,['remote'],2,
5280,5280,5280,72471,putting pen on a surface,Putting [something] on a surface,['pen'],2,
5284,5284,5284,157187,pushing retractable knife from right to left,Pushing [something] from right to left,['knife'],2,
5291,5291,5291,94803,pushing bottle from left to right,Pushing [something] from left to right,['bottle'],2,False
5313,5313,5313,89159,uncovering toy car,Uncovering [something],['toy car'],2,
5369,5369,5369,70359,pushing bottle from right to left,Pushing [something] from right to left,['bottle'],2,
5372,5372,5372,48987,uncovering paper,Uncovering [something],['paper'],2,
5400,5400,5400,121859,uncovering pen,Uncovering [something],['pen'],2,
5413,5413,5413,196454,moving color pencils down,Moving [something] down,['pen'],2,
5430,5430,5430,2084,putting pen on a surface,Putting [something] on a surface,['pen'],2,False
5432,5432,5432,63156,moving toothpaste down,Moving [something] down,['toothpaste'],2,
5451,5451,5451,784,moving rock up,Moving [something] up,['rock'],2,
5471,5471,5471,23400,pushing mouse from right to left,Pushing [something] from right to left,['mouse'],2,
5504,5504,5504,138823,pushing cap from left to right,Pushing [something] from left to right,['cap'],2,
5518,5518,5518,54972,putting scissors on a surface,Putting [something] on a surface,['scissors'],2,False
5524,5524,5524,121765,putting keys on a surface,Putting [something] on a surface,['key'],2,
5549,5549,5549,98340,putting plate on a surface,Putting [something] on a surface,['plate'],2,
5576,5576,5576,76399,putting hair comb on a surface,Putting [something] on a surface,['comb'],2,
5580,5580,5580,116693,uncovering adapter,Uncovering [something],['adapter'],2,
5584,5584,5584,206795,moving toy up,Moving [something] up,['toy'],2,
5586,5586,5586,198620,pushing paper from left to right,Pushing [something] from left to right,['paper'],2,
5661,5661,5661,47046,taking a toy car,Taking [one of many similar things on the table],['toy car'],2,
5686,5686,5686,208609,covering glasses with plastic bag,Covering [something] with [something],"['glass', 'bag']",3,False
5690,5690,5690,117918,pushing color pencils from right to left,Pushing [something] from right to left,['pen'],2,
5692,5692,5692,94205,taking bottle,Taking [one of many similar things on the table],['bottle'],2,
5706,5706,5706,148901,moving color pencils up,Moving [something] up,['pen'],2,
